timestamp,cpu,memory,latency,rps,replicas,delta_rps
2026-05-15 15:14:26,0.002058,221548544,0.013212,0.688889,1,0.0
2026-05-15 15:14:41,0.003756,221548544,0.025445,0.644444,1,-0.044444
2026-05-15 15:14:56,0.009518,221884416,0.00713,4.355556,1,3.711111
2026-05-15 15:15:11,0.019755,221749248,0.005498,9.711111,1,5.355556
2026-05-15 15:15:26,0.02593,221884416,0.005478,15.2,1,5.488889
2026-05-15 15:15:41,0.026815,221626368,0.005513,16.8,1,1.6
2026-05-15 15:15:56,0.027749,221589504,0.005587,16.644444,1,-0.155556
2026-05-15 15:16:11,0.021227,221589504,0.005592,16.466667,1,-0.177778
2026-05-15 15:16:26,0.027405,221601792,0.005498,16.466667,1,0.0
2026-05-15 15:16:41,0.020454,221601792,0.005524,16.555556,1,0.088889
2026-05-15 15:16:56,0.021392,221593600,0.005538,16.466667,1,-0.088889
2026-05-15 15:17:11,0.026394,221847552,0.005785,16.488889,1,0.022222
2026-05-15 15:17:26,0.025939,221990912,0.005549,16.355556,1,-0.133333
2026-05-15 15:17:41,0.012366,221990912,0.005545,16.444444,1,0.088889
2026-05-15 15:17:56,0.025394,221593600,0.005507,16.488889,1,0.044444
2026-05-15 15:18:11,0.025889,221614080,0.005566,16.511111,1,0.022222
2026-05-15 15:18:26,0.026372,221847552,0.005555,16.422222,1,-0.088889
2026-05-15 15:18:41,0.020303,221847552,0.005729,16.333333,1,-0.088889
2026-05-15 15:18:56,0.027128,221474816,0.00576,16.555556,1,0.222222
2026-05-15 15:19:11,0.027078,221745152,0.005825,16.666667,1,0.111111
2026-05-15 15:19:26,0.02609,222236672,0.005927,16.666667,1,0.0
2026-05-15 15:19:41,0.027576,224030720,0.005894,16.4,1,-0.266667
2026-05-15 15:19:56,0.043201,223621120,0.007804,26.488889,1,10.088889
2026-05-15 15:20:11,0.06913,226484224,0.007751,80.288889,2,53.8
2026-05-15 15:20:26,0.28442,301219840,0.109674,163.133333,2,82.844444
2026-05-15 15:20:41,0.38046,371781632,0.110877,243.177778,4,80.044444
2026-05-15 15:20:56,0.782283,491696128,0.473672,262.088889,4,18.911111
2026-05-15 15:21:11,0.821484,534863872,0.495286,242.70256,5,-19.386329
2026-05-15 15:21:26,1.043038,652578816,0.706156,219.852556,5,-22.850004
2026-05-15 15:21:41,1.055008,715649024,0.71481,218.266667,5,-1.585889
2026-05-15 15:21:56,0.965441,830038016,0.684898,255.488889,5,37.222222
2026-05-15 15:22:11,0.798234,863604736,0.66517,271.192159,5,15.70327
2026-05-15 15:22:26,0.553635,854978560,0.80226,300.553217,5,29.361059
2026-05-15 15:22:41,0.355787,854786048,1.13051,292.894052,5,-7.659166
2026-05-15 15:22:56,0.362996,858755072,1.354412,289.394821,5,-3.499231
2026-05-15 15:23:11,0.333403,858451968,1.436524,266.009662,5,-23.385159
2026-05-15 15:23:26,0.335666,860672000,1.662432,244.100139,5,-21.909523
2026-05-15 15:23:41,0.324037,863559680,1.746304,242.266618,5,-1.833521
2026-05-15 15:23:56,0.331291,867860480,1.477901,250.422486,6,8.155868
2026-05-15 15:24:11,0.318603,877510656,1.0646,270.555518,6,20.133032
2026-05-15 15:24:26,0.363595,879153152,0.706252,280.000058,8,9.44454
2026-05-15 15:24:41,0.285902,880095232,0.532951,280.483066,8,0.483009
2026-05-15 15:24:56,0.19606,879464448,0.539398,218.521309,8,-61.961758
2026-05-15 15:25:11,0.115728,879816704,0.531585,129.973665,8,-88.547644
2026-05-15 15:25:26,0.038195,881954816,0.477737,42.933571,8,-87.040094
2026-05-15 15:25:41,0.035718,882741248,0.006857,12.533285,5,-30.400286
2026-05-15 15:25:56,0.031317,718065664,0.007297,12.511293,4,-0.021992
2026-05-15 15:26:11,0.031748,720044032,0.007141,12.711339,4,0.200046
2026-05-15 15:26:26,0.034136,720408576,0.007225,12.478172,4,-0.233166
2026-05-15 15:26:41,0.024883,387735552,0.006798,12.866667,2,0.388494
2026-05-15 15:26:56,0.030523,388059136,0.006614,12.819193,2,-0.047473
2026-05-15 15:27:11,0.026195,388325376,0.0062,12.993222,2,0.174029
2026-05-15 15:27:26,0.026638,388964352,0.005907,12.955556,2,-0.037667
2026-05-15 15:27:41,0.022979,220225536,0.00546,12.242329,1,-0.713227
2026-05-15 15:27:56,0.023812,220381184,0.00541,11.651967,1,-0.590362
2026-05-15 15:28:11,0.018778,220483584,0.005186,11.355556,1,-0.296411
2026-05-15 15:28:26,0.019089,220258304,0.005296,11.466667,1,0.111111
2026-05-15 15:28:41,0.01853,220237824,0.005333,11.822222,1,0.355556
2026-05-15 15:28:56,0.019731,220377088,0.005419,11.688889,1,-0.133333
2026-05-15 15:29:11,0.019959,220377088,0.00533,12.0,1,0.311111
2026-05-15 15:29:26,0.019788,220233728,0.005277,12.0,1,0.0
2026-05-15 15:29:41,0.018006,220217344,0.005245,11.733333,1,-0.266667
2026-05-15 15:29:56,0.011792,220356608,0.005295,11.555556,1,-0.177778
2026-05-15 15:30:11,0.017961,220250112,0.005309,11.088889,1,-0.466667
2026-05-15 15:30:26,0.018167,220356608,0.005311,11.133333,1,0.044444
2026-05-15 15:30:41,0.018135,220352512,0.005214,11.511111,1,0.377778
