timestamp,cpu,memory,latency,rps,replicas,delta_rps
2026-05-15 12:49:12,0.002002,219435008,0.006606,0.688889,1,0.0
2026-05-15 12:49:27,0.00249,219484160,4.838996,1.377778,1,0.688889
2026-05-15 12:49:42,0.001828,219484160,0.006984,3.133333,1,1.755556
2026-05-15 12:49:57,0.008833,219623424,0.006844,4.955556,1,1.822222
2026-05-15 12:50:12,0.009529,219623424,0.005856,6.355556,1,1.4
2026-05-15 12:50:27,0.012411,219611136,0.006113,7.4,1,1.044444
2026-05-15 12:50:42,0.010299,219611136,0.006177,9.066667,1,1.666667
2026-05-15 12:50:57,0.017839,219504640,0.005987,11.133333,1,2.066667
2026-05-15 12:51:12,0.014532,219504640,0.005758,13.377778,1,2.244444
2026-05-15 12:51:27,0.023314,219746304,0.006058,15.555556,1,2.177778
2026-05-15 12:51:42,0.019256,219746304,0.006053,18.266667,1,2.711111
2026-05-15 12:51:57,0.028631,219500544,0.005738,21.066667,1,2.8
2026-05-15 12:52:12,0.03158,219611136,0.005434,24.511111,1,3.444444
2026-05-15 12:52:27,0.031143,219889664,0.005417,27.644444,1,3.133333
2026-05-15 12:52:42,0.034069,219774976,0.005389,31.4,1,3.755556
2026-05-15 12:52:57,0.042553,219746304,0.005373,35.222222,1,3.822222
2026-05-15 12:53:12,0.037843,219656192,0.00531,39.555556,1,4.333333
2026-05-15 12:53:27,0.051339,219701248,0.005321,43.711111,1,4.155556
2026-05-15 12:53:42,0.042478,219701248,0.005381,47.555556,1,3.844444
2026-05-15 12:53:57,0.053699,219906048,0.005398,51.466667,1,3.911111
2026-05-15 12:54:12,0.04713,219906048,0.005284,54.955556,2,3.488889
2026-05-15 12:54:27,0.16353,316100608,0.005032,58.266667,2,3.311111
2026-05-15 12:54:42,0.166871,316100608,0.004786,61.688889,2,3.422222
2026-05-15 12:54:57,0.212463,386568192,0.004912,64.911111,2,3.222222
2026-05-15 12:55:12,0.18729,386457600,0.004955,68.4,2,3.488889
2026-05-15 12:55:27,0.091719,386797568,0.005106,70.858848,2,2.458848
2026-05-15 12:55:42,0.084119,387211264,0.005,73.319997,2,2.461149
2026-05-15 12:55:57,0.112967,395976704,0.005034,74.777778,2,1.457781
2026-05-15 12:56:12,0.083184,397234176,0.005031,76.426117,2,1.648339
2026-05-15 12:56:27,0.117495,398614528,0.005155,77.553092,2,1.126976
2026-05-15 12:56:42,0.110079,400535552,0.005158,78.414794,2,0.861702
2026-05-15 12:56:57,0.109658,402350080,0.005127,79.172301,2,0.757506
2026-05-15 12:57:12,0.107718,402919424,0.005082,79.355556,2,0.183255
2026-05-15 12:57:27,0.107371,404017152,0.005162,79.022222,2,-0.333333
2026-05-15 12:57:42,0.106475,404979712,0.005214,78.288889,2,-0.733333
2026-05-15 12:57:57,0.105438,406077440,0.005202,76.911111,2,-1.377778
2026-05-15 12:58:12,0.104341,406077440,0.004984,75.933333,2,-0.977778
2026-05-15 12:58:27,0.086529,406814720,0.004969,74.022222,2,-1.911111
2026-05-15 12:58:42,0.101798,406736896,0.004975,71.977778,2,-2.044444
2026-05-15 12:58:57,0.097001,407433216,0.005113,69.0,2,-2.977778
2026-05-15 12:59:12,0.08516,412295168,0.005089,66.266667,2,-2.733333
2026-05-15 12:59:27,0.083173,407805952,0.005149,63.644444,2,-2.622222
2026-05-15 12:59:42,0.089522,408199168,0.005179,60.555556,2,-3.088889
2026-05-15 12:59:57,0.082372,408600576,0.005199,57.266667,2,-3.288889
2026-05-15 13:00:12,0.078045,409079808,0.005117,53.488889,2,-3.777778
2026-05-15 13:00:27,0.072048,408875008,0.005182,49.488889,2,-4.0
2026-05-15 13:00:42,0.055216,409423872,0.005249,45.777778,2,-3.711111
2026-05-15 13:00:57,0.050864,409411584,0.005378,41.577778,2,-4.2
2026-05-15 13:01:12,0.057867,409534464,0.005344,37.955556,2,-3.622222
2026-05-15 13:01:27,0.051199,409751552,0.005444,33.733333,2,-4.222222
2026-05-15 13:01:42,0.048628,409899008,0.00538,30.333333,2,-3.4
2026-05-15 13:01:57,0.029678,410238976,0.005431,26.955556,2,-3.377778
2026-05-15 13:02:12,0.035512,219762688,0.005455,23.792107,1,-3.163449
2026-05-15 13:02:27,0.034576,219570176,0.0055,20.41645,1,-3.375657
2026-05-15 13:02:42,0.023996,219570176,0.005572,17.2,1,-3.21645
2026-05-15 13:02:57,0.024443,219725824,0.005587,14.4,1,-2.8
2026-05-15 13:03:12,0.022868,219725824,0.006378,12.2,1,-2.2
2026-05-15 13:03:27,0.018699,219701248,0.006064,10.044444,1,-2.155556
